x,y
-15.0,-12.388218255677353
-14.7,-12.445860980631394
-14.4,-12.50046054233017
-14.1,-12.552976418935746
-13.8,-12.603408574874411
-13.5,-12.651835995837091
-13.2,-12.698315849122853
-12.9,-12.742907776913402
-12.6,-12.78566777027413
-12.3,-12.826649956454663
-12.0,-12.86590632110773
-11.7,-12.903486866414505
-11.4,-12.939440072112243
-11.1,-12.973813044185617
-10.8,-13.006651610816853
-10.5,-13.0380004132892
-10.2,-13.067902988346216
-9.9,-13.096401843782328
-9.6,-13.12353852765142
-9.3,-13.149353691743828
-9.0,-13.173887149827667
-8.7,-13.197177931117857
-8.4,-13.219264329397387
-8.100000000000001,-13.240183948157293
-7.800000000000001,-13.259973742082227
-7.5,-13.278670055175278
-7.2,-13.296308655786488
-6.9,-13.312924768783757
-6.6,-13.328553105082154
-6.300000000000001,-13.343227888727736
-6.0,-13.356982881713977
-5.700000000000001,-13.369851406693124
-5.4,-13.381866367730684
-5.1,-13.393060269238868
-4.800000000000001,-13.403465233213765
-4.5,-13.41311301489132
-4.200000000000001,-13.422035016879846
-3.9,-13.43026230143674
-3.6,-13.437825599829381
-3.3000000000000007,-13.444755318228477
-3.0,-13.451081541164937
-2.700000000000001,-13.456834033601766
-2.4000000000000004,-13.462042241938658
-2.1,-13.466735294352214
-1.8000000000000007,-13.47094175866142
-1.5,-13.474687076194972
-1.200000000000001,-13.47798485853722
-0.9000000000000004,-13.480829311915995
-0.6000000000000014,-13.483203776889496
-0.3000000000000007,-13.485088798983842
0.0,-13.486464282987335
0.2999999999999989,-13.487309695766154
0.5999999999999996,-13.487604108991961
0.8999999999999986,-13.487326250308639
1.1999999999999993,-13.486454527988734
1.5,-13.484967041785778
1.8000000000000007,-13.482841586016233
2.099999999999998,-13.480055646095463
2.3999999999999986,-13.476586392201458
2.6999999999999997,-13.47241067189603
3.0,-13.467505002134589
3.3000000000000007,-13.46184556079511
3.599999999999998,-13.45540817775899
3.899999999999999,-13.448168325359262
4.199999999999999,-13.440101107888797
4.5,-13.431181250261618
4.800000000000001,-13.421383085741962
5.099999999999998,-13.410680542323735
5.399999999999999,-13.399047127412327
5.699999999999999,-13.386455911014991
6.0,-13.372879507540063
6.300000000000001,-13.358290056135022
6.599999999999998,-13.342659199457884
6.899999999999999,-13.32595806076597
7.199999999999999,-13.30815721919462
7.5,-13.289226683085555
7.800000000000001,-13.269135861210062
8.099999999999998,-13.24785353171622
8.399999999999999,-13.225347808610968
8.7,-13.201586105567344
9.0,-13.176535096824356
9.3,-13.150160674920908
9.599999999999998,-13.122427904975739
9.9,-13.093300975192005
10.2,-13.062743143225497
10.5,-13.030716677997887
10.8,-12.99718279649769
11.099999999999998,-12.96210159507961
11.4,-12.92543197461951
11.7,-12.887131559144759
12.0,-12.847156606183466
12.3,-12.805461912280105
12.599999999999998,-12.762000667084212
12.9,-12.716723999917246
13.2,-12.669580825201816
13.5,-12.620518123356916
13.799999999999995,-12.569479166499807
14.099999999999998,-12.516409602887208
14.4,-12.461233379285472
14.7,-12.403952206672372
15.0,-12.343631487094
15.385286244162366,-12.260007079138209
15.765624273664395,-12.16924935131048
16.140982613714552,-12.070335259787775
16.511364902011767,-11.963685095280589
16.87676908204956,-11.849453634485704
17.23720447168184,-11.727836549043504
17.59268095449046,-11.598987828585056
17.943209085159303,-11.463042554988844
18.288796540111456,-11.320111941135245
18.629445955105147,-11.170286065094418
18.9651526176131,-11.01363508750104
19.295901936440067,-10.85020973758599
19.621667149472856,-10.680042636059154
19.942407133616936,-10.50314979471981
20.258064298124385,-10.319532230120483
20.568562568293245,-10.129177708787516
20.873805463979707,-9.932062627635105
21.17367428176114,-9.728154037628618
21.468026392104875,-9.517411817526568
21.756693666032728,-9.299791004089537
22.039481049583085,-9.075244284920698
22.316165310678798,-8.843724661880671
22.586493986570076,-8.605188289228778
22.850184551610493,-8.359597474053746
23.106923823257752,-8.106923823257747
23.356367629457967,-7.847151525650975
23.59814077398088,-7.58028076609756
23.831839039321117,-7.306332668574858
24.057045952580356,-7.025364976051402
24.273382631482047,-6.73750686023797
24.480551482689748,-6.442976134417447
24.67831717772358,-6.142046848736398
24.866476046709675,-5.83501766814647
25.044845124294806,-5.52220033763693
25.213259825156847,-5.203915803216432
25.37157099721218,-4.880490851344983
25.519642391455132,-4.552255765406756
25.65734744322451,-4.219542352261362
25.784565371678056,-3.882682445313469
25.901178284509108,-3.5420075367834536
26.007068301300304,-3.197848955410291
26.10211586811979,-2.850538862679221
26.186202305490472,-2.5004124583222636
26.25922169618437,-2.1478114075878025
26.321094197739775,-1.7930851683703668
26.371771354358604,-1.4365888070273796
26.411230343595612,-1.0786788554673055
26.43946471942967,-0.7197101163827816
26.456477246161498,-0.3600343018574681
26.46227404151084,2.5451361110897168e-15
26.45686142746807,0.3600463752414197
26.440246863087758,0.7197593246907774
26.41244203132813,1.0787933936807295
26.373462535793564,1.4368024529269008
26.32332528417692,1.7934385377470354
26.262048528324435,2.1483506546584836
26.189657818748582,2.501184857047456
26.10619738551895,2.8515868182314104
26.01174180125473,3.19920673266199
25.906401120343446,3.543704539016224
25.790314848624973,3.8847523843830802
25.663640555573874,4.22203397170299
25.526549731891564,4.555244838528761
25.379223997941082,4.884092080132097
25.221849112664827,5.208292263794774
25.054612793572257,5.527570159263293
24.8777030867726,5.841657321130779
24.69130597021011,6.150289787100153
24.495604731912607,6.453206312025306
24.290780032456624,6.750146811922764
24.077014548907428,7.040854207086741
23.85450796280159,7.325086033015656
23.623491390156534,7.602630340645889
23.384229921977422,7.87331595988212
23.137012046906683,8.137012046906678
22.882135200213934,8.39362145904464
22.619895544508307,8.64307491982796
22.350580477991212,8.885325452865997
22.074465918746558,9.12034650647627
21.791818357609255,9.348135994537596
21.502891158057267,9.568713762722043
21.207914913713203,9.782108640151057
20.907094076397296,9.988350597222485
20.60060764814845,10.18746749265273
20.288610562527456,10.379482649541895
19.971235216212232,10.56441258865953
19.64859313432785,10.742264915805544
19.320776755564577,10.913036359021664
18.987861325477624,11.07671095010911
18.649906890541555,11.233258349242272
18.30696038212878,11.382632295437933
17.95905780573778,11.524769246221638
17.606226672136554,11.659587885770815
17.24848819142638,11.78698787942223
16.88585930739209,11.906847058510852
16.518356157623924,12.019026581941546
16.145993737729448,12.12334741454027
15.768796818064176,12.21967550054205
15.38678211825096,12.307606564439208
15.0,12.388218255671056
14.7,12.445860980632908
14.4,12.500460542340916
14.1,12.552976418957156
13.8,12.60340857490789
13.5,12.651835995883939
13.2,12.698315849184237
12.9,12.74290777699034
12.6,12.785667770367485
12.3,12.826649956565138
12.0,12.86590632123586
11.7,12.903486866560584
11.4,12.939440072276195
11.1,12.973813044366915
10.8,13.006651611014478
10.5,13.038000413501678
10.2,13.067902988571639
9.9,13.096401844018404
9.6,13.12353852789551
9.3,13.149353691993062
9.0,13.17388715007905
8.7,13.197177931368437
8.4,13.219264329644322
8.100000000000001,13.240183948397906
7.800000000000001,13.259973742314113
7.5,13.278670055396365
7.2,13.29630865599503
6.9,13.312924768978306
6.6,13.328553105261559
6.300000000000001,13.343227888891168
6.0,13.356982881860898
5.700000000000001,13.369851406823278
5.4,13.381866367844133
5.1,13.393060269336047
4.800000000000001,13.40346523329558
4.5,13.413113014959235
4.200000000000001,13.422035016935894
3.9,13.430262301483413
3.6,13.437825599869528
3.3000000000000007,13.444755318265205
3.0,13.45108154120161
2.700000000000001,13.456834033642018
2.4000000000000004,13.46204224198642
2.1,13.466735294411638
1.8000000000000007,13.470941758736988
1.5,13.4746870762923
1.200000000000001,13.47798485866372
0.9000000000000004,13.480829312078235
0.6000000000000014,13.483203777092802
0.3000000000000007,13.48508879923272
0.0,13.486464283285695
-0.2999999999999989,13.4873096961174
-0.5999999999999996,13.48760410939905
-0.8999999999999986,13.487326250774142
-1.1999999999999993,13.48645452851487
-1.5,13.484967042374427
-1.8000000000000007,13.482841586668915
-2.099999999999998,13.480055646813344
-2.3999999999999986,13.47658639298536
-2.6999999999999997,13.472410672746378
-3.0,13.467505003051333
-3.3000000000000007,13.461845561777643
-3.599999999999998,13.455408178806044
-3.899999999999999,13.4481683264689
-4.199999999999999,13.440101109058448
-4.5,13.431181251488082
-4.800000000000001,13.421383087021445
-5.099999999999998,13.410680543651932
-5.399999999999999,13.399047128784543
-5.699999999999999,13.386455912426237
-6.0,13.372879508985104
-6.300000000000001,13.358290057608396
-6.599999999999998,13.342659200953891
-6.899999999999999,13.325958062278758
-7.199999999999999,13.308157220718352
-7.5,13.289226684614519
-7.800000000000001,13.269135862738764
-8.099999999999998,13.247853533239471
-8.399999999999999,13.225347810123846
-8.7,13.201586107065157
-9.0,13.17653509830267
-9.3,13.15016067637563
-9.599999999999998,13.12242790640316
-9.9,13.093300976588884
-10.2,13.062743144589088
-10.5,13.030716679325884
-10.8,12.997182797788128
-11.099999999999998,12.962101596330758
-11.4,12.925431975829772
-11.7,12.887131560312575
-12.0,12.847156607307221
-12.3,12.80546191335812
-12.599999999999998,12.762000668114739
-12.9,12.716724000898484
-13.2,12.669580826131881
-13.5,12.620518124233898
-13.799999999999995,12.569479167321862
-14.099999999999998,12.516409603652605
-14.4,12.46123337999265
-14.7,12.403952207319925
-15.0,12.343631487681137
-15.385286244179074,12.260007079669892
-15.765624273694545,12.16924935178972
-16.140982613755252,12.070335260218332
-16.511364902060453,11.963685095666015
-16.876769082103998,11.849453634829407
-17.237204471740064,11.727836549348751
-17.592680954550794,11.59898782885499
-17.94320908522032,11.463042555226506
-18.288796540171983,11.320111941343582
-18.629445955164226,11.170286065276247
-18.965152617669986,11.013635087659058
-19.295901936494243,10.85020973772282
-19.621667149524,10.68004263617734
-19.942407133664936,10.50314979482182
-20.258064298169334,10.319532230208704
-20.568562568335413,10.129177708864233
-20.87380546401948,9.93206262770237
-21.173674281798927,9.728154037688164
-21.468026392141045,9.517411817579793
-21.756693666067626,9.299791004137573
-22.039481049617006,9.075244284964437
-22.316165310711998,8.843724661920803
-22.586493986602775,8.605188289265874
-22.850184551642908,8.359597474088266
-23.10692382329009,8.106923823290085
-23.356367629490457,7.84715152568149
-23.598140774013785,7.580280766126571
-23.83183903935476,7.306332668602688
-24.057045952614917,7.025364976078212
-24.2733826315166,6.737506860263078
-24.480551482721058,6.44297613443873
-24.67831717774688,6.142046848751187
-24.86647604672138,5.835017668153392
-25.04484512429449,5.522200337636757
-25.21325982514695,5.203915803211391
-25.371570997196635,4.880490851337672
-25.519642391438477,4.552255765399551
-25.657347443211027,4.219542352256023
-25.78456537167112,3.882682445310975
-25.901178284510614,3.5420075367839443
-26.007068301310323,3.1978489554132072
-26.10211586813626,2.8505388626834525
-26.186202305509195,2.5004124583264478
-26.259221696199752,2.147811407590738
-26.321094197746,1.793085168371357
-26.37177135435062,1.4365888070263753
-26.41123034356979,1.0786788554648663
-26.439464719384993,0.7197101163799697
-26.456477246100842,0.3600343018555631
-26.46227404144163,1.4037237215801294e-15
-26.456861427401307,-0.3600463752393177
-26.440246863034417,-0.7197593246874201
-26.41244203129647,-1.078793393677738
-26.3734625357883,-1.4368024529262333
-26.32332528419925,-1.7934385377505677
-26.262048528372368,-2.1483506546676265
-26.18965781881775,-2.5011848570629147
-26.10619738560328,-2.851586818253064
-26.01174180134703,-3.1992067326888036
-25.90640112043617,-3.5437045390463466
-25.790314848710917,-3.8847523844140195
-25.663640555646506,-4.2220339717317446
-25.526549731945746,-4.555244838552209
-25.379223997974066,-4.8840920801476155
-25.22184911267635,-5.208292263800642
-25.054612793564566,-5.527570159259065
-24.87770308675055,-5.84165732111774
-24.691305970180963,-6.150289787081653
-24.49560473188621,-6.45320631200736
-24.290780032445646,-6.750146811914783
-24.077014548924733,-7.0408542071001605
-23.854507962853653,-7.325086033058723
-23.62349139023988,-7.602630340719368
-23.38422992208066,-7.873315959979062
-23.13701204701609,-8.137012047016087
-22.882135200316394,-8.39362145915375
-22.619895544594044,-8.643074919925205
-22.350580478056578,-8.885325452945006
-22.07446591879345,-9.120346506536722
-21.79181835764117,-9.348135994581522
-21.502891158077475,-9.568713762751766
-21.207914913724498,-9.78210864016884
-20.907094076402046,-9.98835059723052
-20.600607648148692,-10.187467492653157
-20.28861056252488,-10.379482649536852
-19.971235216208257,-10.564412588651095
-19.648593134323573,-10.742264915795667
-19.320776755560807,-10.91303635901213
-18.987861325474892,-11.076710950101518
-18.649906890540162,-11.233258349237968
-18.30696038212879,-11.382632295437947
-17.959057805739057,-11.524769246226588
-17.606226672138806,-11.659587885780876
-17.24848819142921,-11.786987879437078
-16.885859307395055,-11.90684705852962
-16.51835615762661,-12.01902658196282
-16.14599373773151,-12.123347414562103
-15.768796818065429,-12.219675500561937
-15.386782118251428,-12.307606564454066
